RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	
"19:40:00"	"2026-07-31"	"Galway"	"Jps Express (IRE)"	"3.33"	"5.62"	"Handicap"	"1"	"18"	"Joyce, Wesley"	"Mulvany, Michael"
"19:40:00"	"2026-07-31"	"Galway"	"Hassaniya (IRE)"	"25.00"	"39.51"	"Handicap"	"14"	"18"	"Davis, Sean"	"OCallaghan, M D"
"19:40:00"	"2026-07-31"	"Galway"	"In The Gloaming (IRE)"	"22.00"	"42"	"Handicap"	"18"	"18"	"Carroll, G F"	"Oliver, Andrew"
"19:00:00"	"2026-07-31"	"Newmarket (July)"	"Chiedozie"	"400.00"	"941.15"	"Handicap"	"10"	"10"	"McEntee, Grace"	"McEntee, P S"
"18:35:00"	"2026-07-31"	"Galway"	"Shaool (IRE)"	"10.00"	"15"	"Handicap"	"6"	"18"	"Mulligan, R M"	"Murtagh, J P"
"18:15:00"	"2026-07-31"	"Musselburgh"	"Nosey Book"	"8.50"	"10.5"	"Maiden"	"3"	"5"	"McSweeney, O"	"Easterby, T D"
"18:00:00"	"2026-07-31"	"Galway"	"Kings Hill (IRE)"	"5.00"	"6.79"	"Handicap Chase"	"1"	"20"	"Slevin, J J"	"Gilligan, Paul John"
"18:00:00"	"2026-07-31"	"Galway"	"Littlefoot (IRE)"	"33.00"	"117.04"	"Handicap Chase"	"UR"	"20"	"Ewing, Sam"	"Molloy, M A"
"17:45:00"	"2026-07-31"	"Musselburgh"	"Yakhabar"	"28.00"	"40"	"Handicap"	"8"	"9"	"Garritty, Billy"	"Bailey, Liam"
"17:35:00"	"2026-07-31"	"Bath"	"Fabled Spirit (IRE)"	"8.50"	"10"	"Handicap"	"3"	"4"	"Hampson, Brodie"	"Watson, Archie"
"17:20:00"	"2026-07-31"	"Goodwood"	"Into The Light"	"2.00"	"3.5"	"Handicap"	"1"	"13"	"Buick, William"	"Appleby, Charlie"
"17:20:00"	"2026-07-31"	"Goodwood"	"Mythical Valentine (IRE)"	"20.00"	"26.06"	"Handicap"	"7"	"13"	"Murphy, Oisin"	"Balding, A M"
"17:00:00"	"2026-07-31"	"Galway"	"Ischgl (IRE)"	"8.00"	"12.9"	"Maiden"	"3"	"15"	"Coen, Ben M"	"Murphy, Ciaran"
"16:55:00"	"2026-07-31"	"Wolverhampton"	"Hk Fourteen (IRE)"	"14.00"	"21"	"Handicap"	"4"	"10"	"Sousa, Silvestre De"	"Carroll, A W"
"16:45:00"	"2026-07-31"	"Goodwood"	"Perigord Noir (IRE)"	"100.00"	"196.64"	"Handicap Nursery"	"14"	"18"	"Egan, John"	"Baker, George"
"16:45:00"	"2026-07-31"	"Goodwood"	"Wild Terrain"	"33.00"	"47.13"	"Handicap Nursery"	"15"	"18"	"Probert, David"	"Palmer, Hugo"
"15:55:00"	"2026-07-31"	"Newcastle"	"Go Lockers Go"	"5.50"	"7.47"	"Handicap"	"8"	"12"	"Langley, Miss Taryn"	"Bell, M L W"
"14:35:00"	"2026-07-31"	"Wolverhampton"	"Quick Quasar (IRE)"	"22.00"	"27.42"	"Handicap"	"4"	"10"	"Morris, Luke"	"Watson, Archie"
"14:35:00"	"2026-07-31"	"Wolverhampton"	"Generous Rascal"	"10.00"	"16.5"	"Handicap"	"5"	"10"	"Doughty, Jack"	"Cunha, Dylan"
"14:35:00"	"2026-07-31"	"Wolverhampton"	"Al Muqdad"	"3.00"	"4.79"	"Handicap"	"9"	"10"	"Sousa, Silvestre De"	"OMeara, D"
